Country,SPECIES,PRODUCTION_AREA,ENVIRONMENT.ALPHA_2_CODE,MEASURE,Year,VALUE,STATUS,ISO3_Code,country_name,Continent_Group_En,spp_name,Scientific_Name,Major_Group,Area_name
724,BSS,37,MA,Q_tlw,1985,29,NA,ESP,Spain,Europe,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2021,6307.458,NA,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2020,3962.987,NA,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2019,9676.672,NA,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2018,11638.71,NA,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2017,14332.172,E,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2016,10126.289,NA,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2015,12957.6,E,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2014,13741.631,NA,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2013,15878.6,E,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2012,13905.5,NA,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2011,11714.96,NA,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
724,SBG,37,MA,Q_tlw,2010,16261,NA,ESP,Spain,Europe,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
